scene,training_time,num_gaussians,memory,train_psnr,train_ssim,train_lpips,val_psnr,val_ssim,val_lpips,ATE,RTE
bicycle,152.14584350585938,1011051,9.210902690887451,19.932167053222656,0.6177797913551331,0.36496978998184204,22.268070220947266,0.6391340494155884,0.32962164282798767,0.004741446219009366,0.40872363144553253
drjohnson,104.3440408706665,123233,9.922008037567139,16.242094039916992,0.49940213561058044,0.764054536819458,14.966330528259277,0.4598826766014099,0.7759867310523987,0.08821210743926845,4.993219006743471
stump,130.4364070892334,546056,9.922008037567139,20.295801162719727,0.546375572681427,0.4564761221408844,21.33013916015625,0.4729490578174591,0.37307003140449524,0.012249368761756172,0.59378570251699
bonsai,132.55860137939453,432609,9.574489116668701,21.635400772094727,0.7240119576454163,0.28366321325302124,20.59362030029297,0.666840136051178,0.2913356423377991,0.004778739128613113,0.8817582480780041
garden,145.48904395103455,629985,9.574489116668701,22.69814682006836,0.7081204652786255,0.2554287016391754,19.950864791870117,0.4739335775375366,0.28896015882492065,0.0015803371433447966,0.4474948933684682
room,124.40303349494934,401750,9.922008037567139,25.3064022064209,0.8243961930274963,0.19438190758228302,24.290740966796875,0.8081165552139282,0.20756401121616364,0.007233652829763299,0.6916134771373537
android,141.28881430625916,474592,9.922008037567139,21.711809158325195,0.7648806571960449,0.23809415102005005,21.145130157470703,0.7390480637550354,0.24714983999729156,0.009511832763843455,0.5676912375552169
counter,129.62500262260437,453214,9.574489116668701,25.117752075195312,0.818027913570404,0.14764241874217987,24.5784969329834,0.7918477058410645,0.15823706984519958,0.004517458102269157,0.6326263922232168
crab1,116.6159143447876,189635,9.922008037567139,24.309982299804688,0.8573170900344849,0.21334701776504517,23.35538673400879,0.8376972675323486,0.2219228744506836,0.011091135172630917,1.6299944571219385
playroom,108.24593091011047,256335,9.922008037567139,20.2817325592041,0.726499617099762,0.4304077923297882,20.931808471679688,0.7411807775497437,0.41106483340263367,0.051886754377345405,2.264105946526374
kitchen,156.53936195373535,640516,9.574489116668701,22.794212341308594,0.784220278263092,0.17688681185245514,21.475269317626953,0.6764184832572937,0.20036594569683075,0.005357836161771773,0.42617577528098666
truck,144.21778440475464,517701,9.922008037567139,20.1612548828125,0.7571987509727478,0.2067638337612152,18.977296829223633,0.7205259203910828,0.23351703584194183,0.004924593159763908,0.4603724780513181
crab2,130.11800813674927,161902,16.484021186828613,24.17050552368164,0.8343905210494995,0.2264881432056427,23.91217613220215,0.828957736492157,0.23488767445087433,0.014656457199161812,2.4183705455548052
statue,153.24729919433594,414879,16.484021186828613,19.141342163085938,0.7256667017936707,0.27879586815834045,18.897249221801758,0.7082761526107788,0.27834299206733704,0.0072631208007746546,0.3315504173730717
train,132.14976572990417,340986,9.922008037567139,19.905879974365234,0.6741628050804138,0.3079000413417816,18.1514835357666,0.6298140287399292,0.3420199453830719,0.005597404180669094,0.5923706246195016
AVG,133.42832345962523,439629.6,10.656864388783772,21.580298868815103,0.7241633633772532,0.30302002330621086,20.988270886739095,0.6796414792537689,0.3062697619199753,0.015573482895999023,1.1559901889064166
bicycle,131.066251039505,1000000,4.691076755523682,27.22857093811035,0.9048607349395752,0.07622080296278,15.879252433776855,0.2870487570762634,0.4350303113460541,0.01112046999452798,0.436977826334812
drjohnson,743.1283793449402,1000000,5.717193603515625,38.30930709838867,0.9833565950393677,0.017307478934526443,15.923853874206543,0.29560407996177673,0.7103036642074585,0.23176943698272898,7.530666673624957
stump,931.3099937438965,1000000,5.717193603515625,30.67669677734375,0.929902195930481,0.06800611317157745,15.149405479431152,0.19296817481517792,0.45543357729911804,0.03888256688229061,0.567124253069913
bonsai,136.64931845664978,1000000,4.716172218322754,28.85388946533203,0.9344375729560852,0.06146443262696266,20.87260627746582,0.5316994190216064,0.223724365234375,0.031974892182906126,1.9235871235529582
garden,133.55691766738892,1000000,4.716416358947754,30.69133949279785,0.9392772912979126,0.04166553542017937,20.144529342651367,0.4899778366088867,0.2276204526424408,0.004460206824002662,0.2562603696628853
room,123.21256995201111,1000000,5.717193603515625,34.20531463623047,0.9632880687713623,0.023358307778835297,22.703205108642578,0.731581449508667,0.17698654532432556,0.018252416128045117,0.5026455518824083
android,146.91496658325195,1000000,6.34356164932251,30.217792510986328,0.9562849998474121,0.039911556988954544,18.585908889770508,0.524483323097229,0.36982160806655884,0.02049890193559909,0.9174614035420947
counter,139.17505812644958,1000000,4.716233253479004,32.64120864868164,0.9594791531562805,0.02648240141570568,20.332000732421875,0.6074689030647278,0.22812357544898987,0.010920719640647877,0.5814995688420755
crab1,152.86077761650085,1000000,8.738886833190918,29.770517349243164,0.9468409419059753,0.0598679818212986,20.60881805419922,0.7129424810409546,0.2619759738445282,0.012205862020635382,2.462929125185366
playroom,115.87814688682556,1000000,5.717193603515625,35.139583587646484,0.9756832718849182,0.02177143096923828,16.696521759033203,0.5719494819641113,0.3935818076133728,0.060108059194207385,2.20989782611529
kitchen,140.5443766117096,1000000,4.716416358947754,30.27716064453125,0.926708996295929,0.035950906574726105,20.140993118286133,0.592347264289856,0.19883406162261963,0.009732010363586376,0.6314670244852701
truck,143.64549946784973,1000000,6.34356164932251,28.503681182861328,0.9414279460906982,0.035867564380168915,16.740177154541016,0.4807361960411072,0.30399176478385925,0.012167041997182923,0.3015151087332655
crab2,150.27890706062317,1000000,9.16416311264038,34.7543830871582,0.974280595779419,0.033260177820920944,18.103063583374023,0.6527788639068604,0.36240577697753906,0.03162232902656389,2.7593349240444325
yoda,151.31252360343933,1000000,9.16489553451538,34.208351135253906,0.9752750992774963,0.04129495471715927,20.862735748291016,0.7885553240776062,0.24545060098171234,0.04595602993159117,2.4141561366893627
statue,147.44583368301392,1000000,9.16416311264038,27.720020294189453,0.9351993203163147,0.06650056689977646,17.319425582885742,0.5611748099327087,0.3829059302806854,0.006769727014727223,0.4043968772446668
train,141.3717064857483,1000000,6.34356164932251,29.496654510498047,0.9520766735076904,0.03641741722822189,15.43488883972168,0.4947889447212219,0.34008485078811646,0.010193995807755927,0.6214887389430294
