scene,training_time,num_gaussians,memory,train_psnr,train_ssim,train_lpips,val_psnr,val_ssim,val_lpips,ATE,RTE
bicycle,240.36853623390198,1000000,5.5241923332214355,27.808574676513672,0.9171062111854553,0.06376738101243973,14.886215209960938,0.3181098699569702,0.3882490396499634,0.010726560453063198,0.5701491249104341
drjohnson,221.55921077728271,1000000,8.90540361404419,36.91959762573242,0.9778549671173096,0.019042694941163063,15.676702499389648,0.28168800473213196,0.6795897483825684,0.1815694695036115,9.244438303841484
stump,235.85724091529846,1000000,8.90540361404419,30.70240020751953,0.9339134693145752,0.06381208449602127,16.628376007080078,0.24434876441955566,0.38418644666671753,0.028121053117887602,0.9111566245555878
bonsai,251.4586853981018,1000000,7.3941755294799805,30.01093292236328,0.9467658996582031,0.04912855848670006,22.564163208007812,0.63480544090271,0.17096543312072754,0.0253754756572487,1.436451718211174
garden,245.02041625976562,1000000,8.208715438842773,30.965845108032227,0.9407435655593872,0.03949040174484253,21.864532470703125,0.6255831718444824,0.15994933247566223,0.0034435054709972554,0.33932735056926805
room,241.06230783462524,1000000,8.90540361404419,35.2137451171875,0.9680163264274597,0.020848730579018593,23.704566955566406,0.7682595252990723,0.13644903898239136,0.01377344683890443,0.616261856423484
android,273.383816242218,1000000,9.398628234863281,30.38172721862793,0.9580593109130859,0.0359700582921505,18.371257781982422,0.5675166845321655,0.3410212993621826,0.013297091749541688,0.7684982741872469
counter,261.15256333351135,1000000,8.208715438842773,33.54351043701172,0.9618085026741028,0.021775253117084503,20.199247360229492,0.6544200778007507,0.1836852878332138,0.007658690395887507,0.670298276676072
crab1,287.060387134552,1000000,9.398628234863281,30.389265060424805,0.951346218585968,0.05805012956261635,23.306514739990234,0.764788806438446,0.19035005569458008,0.009477448632366079,2.371685826116138
playroom,244.6277837753296,1000000,8.90540361404419,35.76338577270508,0.975906491279602,0.018434200435876846,18.373586654663086,0.6446061134338379,0.2936616837978363,0.05354796696974625,1.593438790904151
kitchen,262.46061182022095,1000000,8.208715438842773,31.79258918762207,0.9561623334884644,0.02740020863711834,21.58262062072754,0.6707463264465332,0.1619184911251068,0.008926805816179276,0.5874610443909963
truck,265.3029890060425,1000000,9.398628234863281,29.27429962158203,0.9512518048286438,0.02980218268930912,16.474775314331055,0.4823051393032074,0.30744922161102295,0.007570619419622484,0.42085421664847267
crab2,285.3280050754547,1000000,9.398628234863281,34.677452087402344,0.9740204215049744,0.03162149339914322,19.07596206665039,0.6841297149658203,0.3119754195213318,0.022413903212513533,2.2150334691007934
yoda,289.649432182312,1000000,9.398628234863281,32.63698196411133,0.9697831273078918,0.05077389255166054,18.218074798583984,0.7451865673065186,0.31524354219436646,0.025712613912852195,1.4985252800914977
statue,275.74749088287354,1000000,9.398628234863281,27.779573440551758,0.9305482506752014,0.07032707333564758,17.208057403564453,0.5870007276535034,0.35852572321891785,0.006749676125439553,0.31731345173385406
train,267.81033849716187,1000000,9.398628234863281,30.345191955566406,0.9583824872970581,0.02833734266459942,17.673603057861328,0.6082308292388916,0.2377367913722992,0.007799329945733778,0.6428520952661833
AVG,259.24061346054077,1000000.0,8.684782892465591,31.76281702518463,0.9544793367385864,0.03928635537158698,19.11301600933075,0.5801078602671623,0.2888097846880555,0.026635228576349687,1.512734106476677
